x,y,time,steering_angle,speed_mps,cur_lat_dist_abs,trg_way_lon_dist
0.0000,2.0000,6.0000,0.0000,0.0000,0.0000,1.8829
0.0000,2.0000,6.5013,0.0000,0.0000,0.0000,1.8829
0.2105,2.0007,7.0000,0.0043,2.2322,0.1152,1.7677
0.6273,2.0031,7.5000,0.0015,2.8455,0.3910,2.2740
1.0673,2.0061,8.0000,0.0003,2.8455,0.0500,2.7746
1.4934,2.0090,8.4999,-0.0005,3.2652,0.4665,2.3495
1.8094,2.0110,9.0012,-0.0004,3.2652,0.1295,2.9540
2.1645,2.0131,9.5000,-0.0008,3.2652,0.1896,2.6350
2.5835,2.0154,10.0000,-0.0014,3.6995,0.3368,2.2199
3.0136,2.0177,10.5000,-0.0007,3.6995,0.1004,2.7246
3.4286,2.0194,11.0000,-0.0009,4.0112,0.4143,2.2975
3.8346,2.0211,11.5000,-0.0004,4.0112,0.0073,2.8312
4.2716,2.0229,12.0000,-0.0005,4.0112,0.4287,2.3962
4.6796,2.0247,12.5000,-0.0001,4.4884,0.0939,2.9190
5.0966,2.0264,13.0000,-0.0001,4.4884,0.2962,2.5290
5.5266,2.0282,13.5000,0.0001,4.7998,0.2086,3.0338
5.9255,2.0299,14.0000,0.0002,4.7998,0.1915,2.6338
6.3125,2.0315,14.5000,0.0004,4.7998,0.3522,3.1778
6.7405,2.0333,15.0001,0.0005,4.7998,0.0769,2.7488
7.1425,2.0349,15.5001,0.0005,4.7998,0.4709,3.2968
7.5775,2.0367,16.0000,0.0007,4.7998,0.0420,2.8678
7.9985,2.0385,16.5000,0.0008,4.7998,0.3770,3.3907
8.3965,2.0402,17.0000,0.0010,4.7998,0.1338,2.9597
8.7875,2.0418,17.5000,0.0013,4.7998,0.2432,2.5827
9.1805,2.0434,18.0000,0.0010,4.7998,0.3288,3.1543
9.6095,2.0455,18.5000,0.0012,4.7998,0.1242,2.7013
10.0304,2.0475,19.0000,0.0009,4.7998,0.4119,3.2362
10.4604,2.0498,19.5000,0.0010,4.7998,0.0202,2.8042
10.8784,2.0520,20.0000,0.0007,4.7998,0.4401,3.3239
11.2944,2.0545,20.5000,0.0008,4.7997,0.0709,2.8929
11.7084,2.0569,21.0001,0.0010,4.7997,0.3172,2.5049
12.0703,2.0590,21.5000,0.0007,4.7996,0.2654,3.0841
12.4863,2.0616,22.0004,0.0009,4.7996,0.1676,2.6511
12.9003,2.0641,22.5001,0.0007,4.7994,0.3672,3.1824
13.2673,2.0664,23.0003,0.0009,4.7994,0.0026,2.8134
13.6873,2.0689,23.5002,-0.0005,4.7994,0.4248,3.3435
14.0853,2.0713,24.0001,-0.0007,4.7993,0.1199,2.9485
14.4673,2.0736,24.5000,-0.0009,4.7993,0.2741,2.5545
14.8473,2.0759,25.0000,-0.0215,4.8000,0.2940,3.1291
15.2754,2.0794,25.5000,-0.0247,4.8000,0.1219,2.7135
15.6915,2.0776,26.0000,-0.1165,4.7859,0.3964,3.0935
16.0990,2.0740,26.5003,-0.1314,4.7859,0.0090,2.7049
16.5232,2.0442,27.0000,-0.2278,4.7859,0.4535,3.0622
16.9678,1.9832,27.5000,-0.2456,4.5966,0.1081,2.6495
17.3865,1.8729,28.0000,-0.2432,4.5966,0.3940,3.1313
17.7347,1.7349,28.5000,-0.2451,3.8288,0.3203,2.7629
18.1333,1.5213,29.0001,-0.2446,3.8288,0.4665,2.3180
18.4957,1.2679,29.5000,-0.1337,4.0942,0.2711,2.8256
18.8154,0.9869,30.0000,-0.1098,4.0942,0.4506,2.4214
19.1291,0.6901,30.5000,0.0413,4.7339,0.1495,2.8577
