x,y,z,yaw,mps,change_flag,
28.7382,47.7532,0.0000,-2.3351,3.2500,0.0000,0.0000,0.0000
26.9332,45.8703,0.0000,-2.5210,3.3400,0.0000,0.0000,0.0000
24.7209,44.2889,0.0000,-2.7280,3.5300,0.0000,0.0000,0.0000
22.0404,43.1125,0.0000,-2.9104,3.8800,0.0000,0.0000,0.0000
19.7183,42.5658,0.0000,-3.0167,4.1000,0.0000,0.0000,0.0000
18.0540,42.3568,0.0000,-3.0891,4.2900,0.0000,0.0000,0.0000
16.2978,42.2645,0.0000,-3.1404,4.4600,0.0000,0.0000,0.0000
14.4743,42.2623,0.0000,3.1119,4.6400,0.0000,0.0000,0.0000
12.5653,42.3190,0.0000,3.1022,4.8300,0.0000,0.0000,0.0000
10.5759,42.3973,0.0000,3.0958,4.9900,0.0000,0.0000,0.0000
8.5350,42.4908,0.0000,3.0996,5.1600,0.0000,0.0000,0.0000
6.4180,42.5797,0.0000,3.0996,5.3800,0.0000,0.0000,0.0000
4.2077,42.6727,0.0000,3.1018,5.5700,0.0000,0.0000,0.0000
1.9245,42.7635,0.0000,3.1014,5.7200,0.0000,0.0000,0.0000
-0.4197,42.8577,0.0000,3.0934,5.8800,0.0000,0.0000,0.0000
-2.8046,42.9727,0.0000,3.1028,5.9600,0.0000,0.0000,0.0000
-5.2230,43.0665,0.0000,3.0978,6.0000,0.0000,0.0000,0.0000
-7.6507,43.1729,0.0000,3.1054,6.0200,0.0000,0.0000,0.0000
-10.0825,43.2610,0.0000,3.1059,6.0500,0.0000,0.0000,0.0000
-12.5212,43.3481,0.0000,3.0978,6.0800,0.0000,0.0000,0.0000
-14.9899,43.4562,0.0000,3.1040,6.1000,0.0000,0.0000,0.0000
-17.4611,43.5490,0.0000,3.1021,6.1400,0.0000,0.0000,0.0000
-19.9611,43.6477,0.0000,3.1086,6.1700,0.0000,0.0000,0.0000
-22.4554,43.7301,0.0000,3.1107,6.1800,0.0000,0.0000,0.0000
-24.9529,43.8073,0.0000,3.1123,6.2200,0.0000,0.0000,0.0000
-27.4855,43.8814,0.0000,3.1123,6.2300,0.0000,0.0000,0.0000
-30.0034,43.9553,0.0000,3.1139,6.2600,0.0000,0.0000,0.0000
-32.5360,44.0255,0.0000,3.1158,6.2700,0.0000,0.0000,0.0000
-35.0848,44.0912,0.0000,3.1150,6.3000,0.0000,0.0000,0.0000
-37.6290,44.1589,0.0000,3.1123,6.3200,0.0000,0.0000,0.0000
-40.1944,44.2340,0.0000,3.1104,6.3100,0.0000,0.0000,0.0000
-42.7541,44.3139,0.0000,3.1084,6.3400,0.0000,0.0000,0.0000
-45.3191,44.3990,0.0000,3.1043,6.3600,0.0000,0.0000,0.0000
-47.8958,44.4952,0.0000,3.1060,6.3800,0.0000,0.0000,0.0000
-50.4780,44.5872,0.0000,3.1060,6.3800,0.0000,0.0000,0.0000
-53.0689,44.6794,0.0000,3.1059,6.4000,0.0000,0.0000,0.0000
-55.6638,44.7722,0.0000,3.1032,6.4200,0.0000,0.0000,0.0000
-58.2779,44.8725,0.0000,3.1038,6.4500,0.0000,0.0000,0.0000
-60.8809,44.9708,0.0000,3.1005,6.4700,0.0000,0.0000,0.0000
-63.5042,45.0787,0.0000,3.1033,6.4800,0.0000,0.0000,0.0000
-66.1303,45.1794,0.0000,3.0991,6.5000,0.0000,0.0000,0.0000
-68.7666,45.2915,0.0000,3.0975,6.5200,0.0000,0.0000,0.0000
-71.4039,45.4078,0.0000,3.1025,6.5300,0.0000,0.0000,0.0000
-74.0417,45.5110,0.0000,3.0978,6.5300,0.0000,0.0000,0.0000
-76.6938,45.6271,0.0000,3.0972,6.5600,0.0000,0.0000,0.0000
-79.3486,45.7449,0.0000,3.1028,6.5500,0.0000,0.0000,0.0000
-82.0036,45.8480,0.0000,3.0991,6.5600,0.0000,0.0000,0.0000
-84.6658,45.9612,0.0000,3.1038,6.5900,0.0000,0.0000,0.0000
-87.3297,46.0620,0.0000,3.1001,6.5900,0.0000,0.0000,0.0000
-89.9973,46.1728,0.0000,3.1012,6.6000,0.0000,0.0000,0.0000
-92.6829,46.2815,0.0000,3.1031,6.6100,0.0000,0.0000,0.0000
-95.3618,46.3846,0.0000,3.1026,6.6200,0.0000,0.0000,0.0000
-98.0443,46.4891,0.0000,3.0984,6.6500,0.0000,0.0000,0.0000
-100.7417,46.6058,0.0000,3.0968,6.6500,0.0000,0.0000,0.0000
-103.4369,46.7265,0.0000,3.0996,6.6700,0.0000,0.0000,0.0000
-106.1338,46.8399,0.0000,3.0894,6.6900,0.0000,0.0000,0.0000
-108.8336,46.9809,0.0000,3.0941,6.6800,0.0000,0.0000,0.0000
-111.5360,47.1095,0.0000,3.0850,6.6900,0.0000,0.0000,0.0000
-114.2426,47.2628,0.0000,3.0814,6.7100,0.0000,0.0000,0.0000
-116.9567,47.4265,0.0000,3.0811,6.7000,0.0000,0.0000,0.0000
-119.6691,47.5907,0.0000,3.0786,6.7000,0.0000,0.0000,0.0000
-122.3716,47.7610,0.0000,3.0830,6.6500,0.0000,0.0000,0.0000
-125.0465,47.9180,0.0000,3.0801,6.5500,0.0000,0.0000,0.0000
-127.6758,48.0798,0.0000,3.0836,6.4100,0.0000,0.0000,0.0000
-130.2583,48.2296,0.0000,3.0986,6.2400,0.0000,0.0000,0.0000
-132.7682,48.3377,0.0000,3.1048,6.0900,0.0000,0.0000,0.0000
-135.2231,48.4280,0.0000,3.1232,5.9200,0.0000,0.0000,0.0000
-137.5796,48.4713,0.0000,-3.1398,5.7700,0.0000,0.0000,0.0000
-139.9149,48.4671,0.0000,-3.1095,5.6000,0.0000,0.0000,0.0000
-142.1715,48.3945,0.0000,-3.0708,5.4400,0.0000,0.0000,0.0000
-144.3008,48.2435,0.0000,-3.0376,5.2800,0.0000,0.0000,0.0000
-146.4047,48.0240,0.0000,-2.9776,5.1100,0.0000,0.0000,0.0000
-148.3896,47.6954,0.0000,-2.9276,4.9500,0.0000,0.0000,0.0000
-150.3247,47.2750,0.0000,-2.8624,4.7800,0.0000,0.0000,0.0000
-152.3781,46.6864,0.0000,-2.7864,4.6000,0.0000,0.0000,0.0000
-154.2756,45.9825,0.0000,-2.7240,4.3900,0.0000,0.0000,0.0000
-155.8913,45.2657,0.0000,-2.6506,4.2800,0.0000,0.0000,0.0000
-157.7373,44.2787,0.0000,-2.5813,4.1500,0.0000,0.0000,0.0000
-159.1362,43.4011,0.0000,-2.5151,4.0800,0.0000,0.0000,0.0000
-160.4559,42.4458,0.0000,-2.4304,4.0300,0.0000,0.0000,0.0000
-162.2689,40.8837,0.0000,-2.3202,3.9700,0.0000,0.0000,0.0000
-164.1532,38.8586,0.0000,-2.1726,3.9500,0.0000,0.0000,0.0000
-165.9311,36.2699,0.0000,-2.0375,3.9700,0.0000,0.0000,0.0000
-167.2000,33.7510,0.0000,-1.9398,4.0700,0.0000,0.0000,0.0000
-167.7942,32.2147,0.0000,-1.8282,4.0800,0.0000,0.0000,0.0000
-168.2117,30.6286,0.0000,-1.7497,4.1000,0.0000,0.0000,0.0000
-168.5030,29.0182,0.0000,-1.7145,4.0300,0.0000,0.0000,0.0000
-168.7393,27.3854,0.0000,-1.5846,4.0100,0.0000,0.0000,0.0000
-168.7671,25.3759,0.0000,-1.5171,3.9900,0.0000,0.0000,0.0000
-168.6802,23.7591,0.0000,-1.4196,4.0300,0.0000,0.0000,0.0000
-168.4363,22.1580,0.0000,-1.3424,4.0600,0.0000,0.0000,0.0000
-168.0598,20.5389,0.0000,-1.2804,4.0800,0.0000,0.0000,0.0000
-167.5793,18.9307,0.0000,-1.1978,4.2000,0.0000,0.0000,0.0000
-166.9647,17.3602,0.0000,-1.1184,4.2500,0.0000,0.0000,0.0000
-166.2150,15.8174,0.0000,-1.0514,4.3000,0.0000,0.0000,0.0000
-165.3433,14.2928,0.0000,-0.9765,4.3600,0.0000,0.0000,0.0000
-164.3546,12.8297,0.0000,-0.8803,4.3900,0.0000,0.0000,0.0000
-163.2361,11.4760,0.0000,-0.7961,4.4000,0.0000,0.0000,0.0000
-161.9863,10.1990,0.0000,-0.7183,4.4100,0.0000,0.0000,0.0000
-160.6345,9.0175,0.0000,-0.6315,4.4500,0.0000,0.0000,0.0000
-159.1799,7.9537,0.0000,-0.5303,4.4800,0.0000,0.0000,0.0000
-157.6131,7.0351,0.0000,-0.4595,4.5300,0.0000,0.0000,0.0000
-155.9576,6.2158,0.0000,-0.3791,4.5800,0.0000,0.0000,0.0000
-154.2282,5.5270,0.0000,-0.3147,4.7000,0.0000,0.0000,0.0000
-152.3934,4.9298,0.0000,-0.2454,4.9000,0.0000,0.0000,0.0000
-150.4449,4.4417,0.0000,-0.1634,5.1300,0.0000,0.0000,0.0000
-147.8505,4.0140,0.0000,-0.1028,5.4000,0.0000,0.0000,0.0000
-145.6495,3.7870,0.0000,-0.0530,5.6300,0.0000,0.0000,0.0000
-143.3415,3.6646,0.0000,-0.0193,5.8600,0.0000,0.0000,0.0000
-140.9471,3.6183,0.0000,0.0067,6.0700,0.0000,0.0000,0.0000
-138.4554,3.6350,0.0000,0.0165,6.2900,0.0000,0.0000,0.0000
-135.8652,3.6777,0.0000,0.0310,6.5200,0.0000,0.0000,0.0000
-133.2024,3.7602,0.0000,0.0322,6.7100,0.0000,0.0000,0.0000
-130.4308,3.8496,0.0000,0.0454,6.9300,0.0000,0.0000,0.0000
-126.8806,4.0110,0.0000,0.0507,7.1700,0.0000,0.0000,0.0000
-123.9463,4.1600,0.0000,0.0479,7.3600,0.0000,0.0000,0.0000
-120.1671,4.3410,0.0000,0.0467,7.5700,0.0000,0.0000,0.0000
-117.0558,4.4863,0.0000,0.0383,7.7600,0.0000,0.0000,0.0000
-113.8780,4.6081,0.0000,0.0322,7.9700,0.0000,0.0000,0.0000
-110.6351,4.7124,0.0000,0.0221,8.1100,0.0000,0.0000,0.0000
-107.3246,4.7854,0.0000,0.0172,8.2000,0.0000,0.0000,0.0000
-103.9807,4.8430,0.0000,0.0074,8.2500,0.0000,0.0000,0.0000
-100.6235,4.8679,0.0000,-0.0073,8.2700,0.0000,0.0000,0.0000
-97.2558,4.8432,0.0000,-0.0121,8.3300,0.0000,0.0000,0.0000
-93.8592,4.8022,0.0000,-0.0215,8.3600,0.0000,0.0000,0.0000
-90.4309,4.7284,0.0000,-0.0350,8.4100,0.0000,0.0000,0.0000
-87.0228,4.6093,0.0000,-0.0371,8.4500,0.0000,0.0000,0.0000
-83.5867,4.4817,0.0000,-0.0434,8.4800,0.0000,0.0000,0.0000
-80.1762,4.3337,0.0000,-0.0458,8.4900,0.0000,0.0000,0.0000
-76.7230,4.1755,0.0000,-0.0477,8.4800,0.0000,0.0000,0.0000
-73.2686,4.0106,0.0000,-0.0477,8.4500,0.0000,0.0000,0.0000
-69.8755,3.8485,0.0000,-0.0504,8.4200,0.0000,0.0000,0.0000
-66.4599,3.6763,0.0000,-0.0500,8.3700,0.0000,0.0000,0.0000
-62.6782,3.4873,0.0000,-0.0490,8.3300,0.0000,0.0000,0.0000
-59.7110,3.3417,0.0000,-0.0480,8.2900,0.0000,0.0000,0.0000
-56.3427,3.1800,0.0000,-0.0464,8.2600,0.0000,0.0000,0.0000
-53.0276,3.0261,0.0000,-0.0398,8.2200,0.0000,0.0000,0.0000
-49.6858,2.8930,0.0000,-0.0347,8.2000,0.0000,0.0000,0.0000
-45.9823,2.7646,0.0000,-0.0292,8.1600,0.0000,0.0000,0.0000
-43.0839,2.6799,0.0000,-0.0250,8.1100,0.0000,0.0000,0.0000
-39.7900,2.5976,0.0000,-0.0240,8.0800,0.0000,0.0000,0.0000
-36.5426,2.5198,0.0000,-0.0223,8.0400,0.0000,0.0000,0.0000
-33.2875,2.4472,0.0000,-0.0249,7.9700,0.0000,0.0000,0.0000
-30.0622,2.3670,0.0000,-0.0283,7.8400,0.0000,0.0000,0.0000
-26.9259,2.2781,0.0000,-0.0352,7.6300,0.0000,0.0000,0.0000
-23.1130,2.1439,0.0000,-0.0349,7.3200,0.0000,0.0000,0.0000
-20.1994,2.0422,0.0000,-0.0444,7.0500,0.0000,0.0000,0.0000
-17.3860,1.9172,0.0000,-0.0474,6.7300,0.0000,0.0000,0.0000
-14.3959,1.7752,0.0000,-0.0455,6.3600,0.0000,0.0000,0.0000
-11.0237,1.6217,0.0000,-0.0453,5.6600,0.0000,0.0000,0.0000
-8.5453,1.5094,0.0000,-0.0427,5.1500,0.0000,0.0000,0.0000
-6.3324,1.4147,0.0000,-0.0332,4.5200,0.0000,0.0000,0.0000
-4.5899,1.3568,0.0000,-0.0318,3.9700,0.0000,0.0000,0.0000
-2.1209,1.2783,0.0000,-0.0288,2.8300,0.0000,0.0000,0.0000
